"id"|"Brand"|"Tahun Rilis"|"Nama Produk"|"Jaringan"|"Material"|"SIM Slots"|"Technology"|"Ukuran Layar"|"Screen Resolution"|"OS Version & Version Detail"|"Prosesor"|"GPU"|"RAM (GB)"|"Memori Internal (GB)"|"NFC"|"USB"|"Kapasitas Baterai"|"Daya Fast Charging"|"Waterproof"|"Sensor"|"3.5mm Jack"|"Resolusi Kamera Belakang"|"Resolusi Kamera Utama Lainnya"|"Dual Kamera Belakang"|"Jumlah Kamera Belakang"|"Resolusi Kamera Depan"|"Dual Kamera Depan"|"Flash"|"Dual Flash"|"Video"|"Harga"
"183"|"Tecno"|"Android 2024"|"Spark 20 Pro+"|"3G, 4G"|"Glass front, plastic back, plastic frame"|"2"|"AMOLED"|"6.78"|"2436 x 1080"|"Android 14, Android 14"|"MediaTek, Helio G99 Ultimate, Octa"|"Mali-G57 MC2"|"8 GB"|"256 GB"|"True"|"Type-C"|"5000"|"33 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"No"|"108"|"0.08"|"True"|"2"|"32"|"No"|"True"|"True"|"1440p@30fps, 1080p@30fps"|"Rp 2.195.000"
"184"|"Tecno"|"Android 2024"|"Spark 20"|"3G, 4G"|"Glass front, plastic back, plastic frame"|"2"|"IPS LCD"|"6.6"|"1612 x 720"|"Android 13, Android 13"|"MediaTek, Helio G85, Octa"|"Mali-G52 MC2"|"8 GB"|"256 GB"|"No"|"Type-C, USB OTG"|"5000"|"18 W"|"No"|"Fingerprint, Accelerometer, Proximity, Compass"|"True"|"50"|"0.08"|"True"|"2"|"32"|"No"|"True"|"True"|"1440p@30fps, 1080p@30fps"|"Rp 1.599.000"
"185"|"Tecno"|"Android 2024"|"Spark 20"|"3G, 4G"|"Glass front, plastic back, plastic frame"|"2"|"IPS LCD"|"6.6"|"1612 x 720"|"Android 13, Android 13"|"MediaTek, Helio G85, Octa"|"Mali-G52 MC2"|"8 GB"|"128 GB"|"No"|"Type-C, USB OTG"|"5000"|"18 W"|"No"|"Fingerprint, Accelerometer, Proximity, Compass"|"True"|"50"|"0.08"|"True"|"2"|"32"|"No"|"True"|"True"|"1440p@30fps, 1080p@30fps"|"Rp 1.315.100"
"186"|"iQOO"|"Android 2024"|"13"|"3G, 4G, 5G"|"Glass front, aluminum frame, glass back"|"2"|"AMOLED"|"6.82"|"3168 x 1440"|"Android 15, Funtouch 15"|"Qualcomm, Snapdragon 8 Elite, Octa"|"Adreno 830"|"12 GB"|"256 GB"|"True"|"Type-C, USB OTG"|"6150"|"120 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass, Color spectrum"|"No"|"50"|"50, 50"|"True"|"3"|"32"|"No"|"True"|"True"|"8K@30fps, 4K@24/30/60fps, 1080p@30/60/120/240fps, gyro-EIS"|"Rp 9.999.000"
"187"|"iQOO"|"Android 2024"|"13"|"3G, 4G, 5G"|"Glass front, aluminum frame, glass back"|"2"|"AMOLED"|"6.82"|"3168 x 1440"|"Android 15, Funtouch OS 15"|"Qualcomm, Snapdragon 8 Elite, Octa"|"Adreno 830"|"16 GB"|"512 GB"|"True"|"Type-C, USB OTG"|"6150"|"120 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass, Color spectrum"|"No"|"50"|"50, 50"|"True"|"3"|"32"|"No"|"True"|"True"|"8K@30fps, 4K@24/30/60fps, 1080p@30/60/120/240fps, gyro-EIS"|"Rp 11.999.000"
"188"|"iQOO"|"Android 2024"|"Z9"|"3G, 4G, 5G"|"Glass front"|"2"|"AMOLED"|"6.78"|"2800 x 1260"|"Android 14, Funtouch OS 14"|"Qualcomm, Snapdragon 7 Gen 3, Octa"|"Adreno 720"|"12 GB"|"256 GB"|"True"|"Type-C, USB OTG"|"6000"|"44 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"No"|"50"|"2"|"True"|"2"|"16"|"No"|"True"|"True"|"4K@30fps, 1080p@30/60fps, gyro-EIS"|"Rp 4.565.000"
"190"|"iQOO"|"Android 2024"|"Z9"|"3G, 4G, 5G"|"Glass front"|"2"|"AMOLED"|"6.78"|"2800 x 1260"|"Android 14, Funtouch OS 14"|"Qualcomm, Snapdragon 7 Gen 3, Octa"|"Adreno 720"|"8 GB"|"128 GB"|"True"|"Type-C, USB OTG"|"6000"|"44 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"No"|"50"|"2"|"True"|"2"|"16"|"No"|"True"|"True"|"4K@30fps, 1080p@30/60fps, gyro-EIS"|"Rp 3.899.000"
"191"|"iQOO"|"Android 2024"|"Z9"|"3G, 4G, 5G"|"Glass front"|"2"|"AMOLED"|"6.78"|"2800 x 1260"|"Android 14, Funtouch OS 14"|"Qualcomm, Snapdragon 7 Gen 3, Octa"|"Adreno 720"|"8 GB"|"256 GB"|"True"|"Type-C, USB OTG"|"6000"|"44 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"No"|"50"|"2"|"True"|"2"|"16"|"No"|"True"|"True"|"4K@30fps, 1080p@30/60fps, gyro-EIS"|"Rp 4.199.000"
"194"|"ASUS"|"Android 2024"|"Zenfone 11 Ultra"|"3G, 4G, 5G"|"Glass front (Gorilla Glass Victus 2), aluminum frame, glass back"|"2"|"LTPO OLED"|"6.78"|"2400 x 1080"|"Android 14, None"|"Qualcomm, Snapdragon 8 Gen 3, Octa"|"Adreno 750"|"12 GB"|"256 GB"|"True"|"Type-C"|"5500"|"65 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"True"|"50"|"32, 13"|"True"|"3"|"32"|"No"|"True"|"No"|"8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+"|"Rp 9.293.000"
"195"|"ASUS"|"Android 2024"|"Zenfone 11 Ultra"|"3G, 4G, 5G"|"Glass front (Gorilla Glass Victus 2), aluminum frame, glass back"|"2"|"LTPO OLED"|"6.78"|"2400 x 1080"|"Android 14, None"|"Qualcomm, Snapdragon 8 Gen 3, Octa"|"Adreno 750"|"16 GB"|"512 GB"|"True"|"Type-C"|"5500"|"65 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"True"|"50"|"32, 13"|"True"|"3"|"32"|"No"|"True"|"No"|"8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+"|"Rp 13.528.000"
"196"|"ASUS"|"Android 2024"|"ROG Phone 8"|"3G, 4G, 5G"|"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame"|"2"|"LTPO AMOLED"|"6.78"|"2400 x 1080"|"Android 14, ROG UI"|"Qualcomm, Snapdragon 8 Gen 3, Octa"|"Adreno 750"|"12 GB"|"256 GB"|"True"|"Type-C, USB OTG"|"5500"|"65 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"True"|"50"|"32, 13"|"True"|"3"|"32"|"No"|"True"|"No"|"8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+"|"Rp 10.200.000"
"197"|"ASUS"|"Android 2024"|"ROG Phone 8 Pro Edition"|"3G, 4G, 5G"|"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame"|"2"|"LTPO AMOLED"|"6.78"|"2400 x 1080"|"Android 14, ROG UI"|"Qualcomm, Snapdragon 8 Gen 3, Octa"|"Adreno 750"|"24 GB"|"1024 GB"|"True"|"Type-C, USB OTG"|"5500"|"65 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"True"|"50"|"32, 13"|"True"|"3"|"32"|"No"|"True"|"No"|"8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+"|"Rp 2.599.000"
"198"|"ASUS"|"Android 2024"|"ROG Phone 8 Pro"|"3G, 4G, 5G"|"Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass), aluminum frame"|"2"|"LTPO AMOLED"|"6.78"|"2400 x 1080"|"Android 14, ROG UI"|"Qualcomm, Snapdragon 8 Gen 3, Octa"|"Adreno 750"|"16 GB"|"512 GB"|"True"|"Type-C, USB OTG"|"5500"|"65 W"|"True"|"Fingerprint, Accelerometer, Gyroscope, Proximity, Compass"|"True"|"50"|"32, 13"|"True"|"3"|"32"|"No"|"True"|"No"|"8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+"|"Rp 15.799.000"
